공원명,위도,경도
염주골공원,37.549932,127.1456059
성내천공원,37.526764,127.123929
새장터공원,37.55212624,127.130563
광나루공원,37.5500717,127.1255454
볕우물공원,37.553613,127.135704
구암공원,37.556567,127.137608
선사공원,37.55576061,127.1299975
천사공원,37.54380935,127.1284086
고분다리공원,37.54540502,127.131821
동산공원,37.547119,127.129682
광진공원,37.542946,127.122505
천일골목공원,37.5405287,127.1314181
천호삼거리공원,37.545489,127.138494
천호큰골목공원,37.545101,127.138573
천암공원,37.547844,127.136878
성내공원,37.529486,127.126516
샛마을공원,37.550106,127.147099
화랑공원,37.540033,127.123192
꿈나래공원,37.5608275,127.153742
곰돌이공원,37.556235,127.154997
이창동제3 어린이공원,34.994935,126.70578
이창동제4 어린이공원,34.997024,126.715737
아람,,126.837359
쉼목,35.187477,126.836785
제1풍영정,35.17498627,126.8121534
제2풍영정,35.177519,126.811916
맑은샘,35.17877687,126.8106736
야호숲,35.173388,126.810754
풍영정천,35.177946,126.814155
목련무지개,35.177823,126.816099
방동,35.173676,126.815965
기쁨,35.170384,126.810641
영산강대상,35.21330279,126.8525085
황룡강대상,35.14471174,126.7821639
운 남,35.17144075,126.8159421
신 가,35.1826649,126.8278526
가 족,35.19885624,126.8386196
역 사,35.19467185,126.8452951
혜림공원,37.54460149,127.139905
성안공원,37.531369,127.134773
선린공원,37.52851478,127.132711
보람공원,37.52471702,127.131302
안말공원,37.531236,127.129903
샛별공원,37.526993,127.127036
달님공원,37.53621038,127.142551
폭포동소공원,37.637075,126.916493
한울2호공원,37.2374274,126.9542544
한울1호공원,37.23617678,126.9542822
피아노숲공원(1호),37.21816018,126.956276
